Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	23	48.93617021276596	3.0643470340330746E-15	SPARC, VCAM1, GPX3, SERPINF1, COL12A1, BGN, ADM, PTN, CXCL14, COL1A1, GREM2, VCAN, COL3A1, COL1A2, FLRT2, PTPRZ1, CRISPLD2, COL6A2, COL8A1, S100A4, TIMP1, IGFBP6, FBN1	47	1809	29722	8.040247932912271	3.979039320256561E-13	3.9223642035623355E-13	3.4627121484573744E-13
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	12	25.53191489361702	1.6644129825397194E-13	COL1A1, COL3A1, VCAN, SPARC, PTPRZ1, CRISPLD2, COL6A2, COL12A1, BGN, TIMP1, PTN, FBN1	47	257	29722	29.52760990148191	2.1302071218087804E-11	1.0652243088254204E-11	9.403933351349415E-12
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	12	25.53191489361702	2.6096757316181293E-12	COL1A1, COL3A1, VCAN, SPARC, COL1A2, COL6A2, COL12A1, BGN, COL8A1, IGFBP6, FBLN2, FBN1	47	331	29722	22.926271131966313	3.340403509355383E-10	1.1134616454904018E-10	9.829778589094954E-11
REACTOME_PATHWAY	R-MMU-1474244~Extracellular matrix organization	14	29.78723404255319	9.412796932920763E-12	SPARC, VCAM1, COL12A1, BGN, FBLN2, COL1A1, ACTA2, VCAN, COL3A1, COL1A2, COL6A2, COL8A1, TIMP1, FBN1	35	287	9277	12.929616724738676	2.183770497765636E-9	2.1931816853705377E-9	1.97668735591336E-9
GOTERM_CC_DIRECT	GO:0005576~extracellular region	19	40.42553191489361	5.071027105503714E-11	CTLA2A, VCAM1, GPX3, SERPINF1, COL12A1, BGN, PTN, FBLN2, COL1A1, VCAN, COL3A1, COL1A2, FLRT2, PTPRZ1, CRISPLD2, COL6A2, S100A4, TIMP1, FBN1	47	1780	29722	6.750155390867797	6.490921578006237E-9	1.6227286737611885E-9	1.4325651573047992E-9
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	7	14.893617021276595	4.554153190661396E-9	COL1A1, COL3A1, SPARC, COL1A2, IGFBP6, FBLN2, FBN1	44	91	28924	50.56643356643356	5.829314366767591E-7	4.787582223598892E-7	4.4883583346239615E-7
GOTERM_MF_DIRECT	GO:0030020~extracellular matrix structural constituent conferring tensile strength	6	12.76595744680851	7.480597224373269E-9	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	44	46	28924	85.74308300395256	9.575159934938071E-7	4.787582223598892E-7	4.4883583346239615E-7
REACTOME_PATHWAY	R-MMU-3000178~ECM proteoglycans	7	14.893617021276595	1.9030924365705653E-8	COL1A1, COL3A1, VCAN, SPARC, COL1A2, COL6A2, BGN	35	49	9277	37.86530612244898	4.415164754023593E-6	2.2171026886047086E-6	1.9982470583990936E-6
KEGG_PATHWAY	mmu04820:Cytoskeleton in muscle cells	10	21.27659574468085	2.2847972312714302E-8	COL1A1, COL3A1, VCAN, COL1A2, COL6A2, BGN, MYH11, FBLN2, MYL9, FBN1	31	232	9565	13.299499443826473	1.5993567997751867E-6	1.5993580618900011E-6	1.439422255701001E-6
GOTERM_CC_DIRECT	GO:0005604~basement membrane	7	14.893617021276595	3.460258164716589E-8	ACTA2, SPARC, SERPINF1, COL8A1, TIMP1, PTN, FBN1	47	122	29722	36.28426927101499	4.4291207241808905E-6	8.858260901674469E-7	7.820183452259493E-7
