mean_rank,feature,rank_shift,rank_att,rank_shift_in_modal,rank_att_in_modal,modality,importance_shift,importance_att,top_10_pct,mean_de,mean_re,std_de,std_re,pval,pval_adj,log_fc,group,pval_adj_log,mean_diff,pathway,module
1.0,Foxa1_306,1,1,1,2,ATAC,1.816,0.023609,both,-0.112726,0.22613,0.204779,0.139781,2.3135429418977005e-24,0.0,31.658024,reprogramming,21.291822,0.338856,,
3.0,S100a13,4,2,1,1,RNA,0.227714,0.016019,both,1.242315,1.865037,0.910165,0.942642,3.707293322193325e-41,0.0,1.147109,reprogramming,37.832246,-0.622722,,
5.5,Gm5294_338,7,4,6,4,ATAC,0.173962,0.011048,both,-0.071203,0.217929,0.208045,0.19204,4.096515289607139e-19,0.0,2.993346,reprogramming,17.165901,0.289132,,
6.0,Foxl1_364,9,3,7,3,ATAC,0.166957,0.014082,both,-0.071203,0.217929,0.208045,0.19204,4.096515289607139e-19,0.0,2.993346,reprogramming,17.165901,0.289132,,
6.0,Nfe2_132,3,9,3,7,ATAC,0.24526,0.007149,both,0.012812,-0.054328,0.105776,0.092487,3.413335370297725e-06,1.3e-05,-1.104146,dead-end,4.88419,-0.06714,,
8.5,Dmrt2_254,10,7,8,6,ATAC,0.161776,0.007726,both,0.038894,-0.026386,0.064851,0.068684,1.49689749404841e-11,0.0,-0.812362,dead-end,9.947033,-0.06528,,
9.0,Cd9,8,10,2,5,RNA,0.171826,0.006946,both,0.704,1.440771,0.770504,0.825571,9.281734507843331e-73,0.0,1.657683,reprogramming,68.491666,-0.736771,,
11.0,Acta2,17,5,8,3,RNA,0.119823,0.008046,both,3.438695,2.609269,1.013716,1.206802,2.3132417252594253e-52,0.0,-1.259805,dead-end,48.748287,0.829427,,
12.5,Tcfap4_20,19,6,10,5,ATAC,0.114262,0.007729,both,0.04774,-0.022908,0.06478,0.053814,7.60496490466717e-14,0.0,-0.837195,dead-end,12.14607,-0.070648,,
14.0,Rbp1,13,15,4,10,RNA,0.154484,0.006301,both,1.020188,1.613292,0.837845,0.913407,1.440328968302148e-42,0.0,1.180173,reprogramming,39.175895,-0.593105,,
