Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	
GOTERM_CC_DIRECT	GO:0005615~extracellular space	16	34.04255319148936	4.663616024540596E-8	"FGB, SERPINB11, IGFBP4, IGFBP2, APOA1, NDNF, MSLN, KRT18, S100A16, S100A13, TIMP3, DPEP1, APOE, ANGPTL4, APOB, RAMP1"	47	1809	29722	5.593215953330275	6.0626825979515075E-6	6.062700831902774E-6	5.269886107730873E-6	
GOTERM_BP_DIRECT	GO:0071402~cellular response to lipoprotein particle stimulus	3	6.382978723404255	1.3431633526269892E-5	"APOA1, APOE, APOB"	46	4	29712	484.4347826086956	0.006680019	0.003278001	0.003231925	
GOTERM_BP_DIRECT	GO:0070328~triglyceride homeostasis	4	8.510638298	1.7157082277104606E-5	"HNF4A, APOA1, ANGPTL4, APOE"	46	33	29712	78.29249011857706	0.008524913	0.003278001	0.003231925	
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	5	10.638297872340425	2.2737647712678613E-5	"HNF4A, EPHX2, APOA1, APOE, APOB"	46	109	29712	29.629038691663343	0.011282089659063299	0.003278001	0.003231925	
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	6	12.76595744680851	2.632932918372177E-5	"HNF4A, MGST2, DPEP1, ANGPTL4, APOE, APOB"	46	232	29712	16.70464767616192	0.013052574785678228	0.003278001	0.003231925	
GOTERM_BP_DIRECT	GO:0042158~lipoprotein biosynthetic process	3	6.382978723404255	3.3514330785070164E-5	"APOA1, APOE, APOB"	46	6	29712	322.9565217391304	0.016584862706917503	0.003338027	0.003291107	
REACTOME_PATHWAY	R-MMU-381426~Regulation of IGF transport and uptake by IGFBPs	6	12.76595744680851	4.499995756510954E-5	"IGFBP4, IGFBP2, APOA1, APOE, APOB, MSLN"	32	121	9277	14.37551652892562	0.006682715	0.006749994	0.006164994	
GOTERM_CC_DIRECT	GO:0034363~intermediate-density lipoprotein particle	3	6.382978723404255	4.8967094457451444E-5	"APOA1, APOE, APOB"	47	7	29722	271.02127659574467	0.006345659	0.003182861	0.002766641	
REACTOME_PATHWAY	R-MMU-8963899~Plasma lipoprotein remodeling	4	8.510638298	9.360819206260126E-5	"APOA1, ANGPTL4, APOE, APOB"	32	27	9277	42.949074074074076	0.013851447007621642	0.007020614	0.006412161	
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	7	14.893617021276595	9.972581619651291E-5	"UPK1B, IGFBP2, DPEP1, CD9, SORBS2, ATP1B1, EZR"	47	486	29722	9.108396812888538	0.012881318986070145	0.004321452	0.003756339	
KEGG_PATHWAY	mmu04979:Cholesterol metabolism	4	8.510638298	1.6730513704172898E-4	"APOA1, ANGPTL4, APOE, APOB"	22	50	9565	34.78181818181818	0.016592712395294584	0.016730514	0.016563208567131168	
GOTERM_CC_DIRECT	GO:0042627~chylomicron	3	6.382978723404255	1.8080415559233024E-4	"APOA1, APOE, APOB"	47	13	29722	145.9345335515548	0.023232536	0.005876135	0.005107717	
GOTERM_CC_DIRECT	GO:0034362~low-density lipoprotein particle	3	6.382978723404255	2.4291054284262555E-4	"APOA1, APOE, APOB"	47	15	29722	126.47659574468085	0.031088698	0.006315674	0.005489778	
REACTOME_PATHWAY	R-MMU-975634~Retinoid metabolism and transport	4	8.510638298	3.5513433187466735E-4	"RBP1, APOA1, APOE, APOB"	32	42	9277	27.610119047619047	0.0515483	0.010937765361186881	0.009989826	
GOTERM_CC_DIRECT	GO:0005902~microvillus	4	8.510638298	4.213662153132071E-4	"FOXA1, STARD10, CALML4, EZR"	47	94	29722	26.909913988229967	0.053315266	0.009129601	0.00793573	
REACTOME_PATHWAY	R-MMU-6806667~Metabolism of fat-soluble vitamins	4	8.510638298	4.6536661052986125E-4	"RBP1, APOA1, APOE, APOB"	32	46	9277	25.209239130434785	0.067005305	0.010937765361186881	0.009989826	
REACTOME_PATHWAY	R-MMU-3000480~Scavenging by Class A Receptors	3	6.382978723404255	4.782798164994853E-4	"APOA1, APOE, APOB"	32	10	9277	86.971875	0.06879957	0.010937765361186881	0.009989826	
REACTOME_PATHWAY	R-MMU-8957275~Post-translational protein phosphorylation	5	10.638297872340425	5.445284931620396E-4	"IGFBP4, APOA1, APOE, APOB, MSLN"	32	115	9277	12.60461956521739	0.077950937	0.010937765361186881	0.009989826	
REACTOME_PATHWAY	R-MMU-8963888~Chylomicron assembly	3	6.382978723404255	5.83347485929967E-4	"APOA1, APOE, APOB"	32	11	9277	79.06534091	0.083271695	0.010937765361186881	0.009989826	
REACTOME_PATHWAY	R-MMU-8963901~Chylomicron remodeling	3	6.382978723404255	5.83347485929967E-4	"APOA1, APOE, APOB"	32	11	9277	79.06534091	0.083271695	0.010937765361186881	0.009989826	
GOTERM_MF_DIRECT	GO:0120020~cholesterol transfer activity	3	6.382978723404255	6.391569962462111E-4	"APOA1, APOE, APOB"	46	24	28924	78.59782608695652	0.10356616276729458	0.064222692	0.060091407	
GOTERM_BP_DIRECT	GO:0006869~lipid transport	4	8.510638298	7.119332909555852E-4	"STARD10, APOA1, APOE, APOB"	46	115	29712	22.466540642722116	0.29909381494470433	0.059090463	0.058259874309865387	
